"filename", "language", "JSON", "PostCSS", "Markdown", "JavaScript", "TypeScript", "XML", "JSON with Comments", "Ignore", "comment", "blank", "total"
"c:\Users\lry72\code\workspace_vscode_extension\.vscode-test.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\lry72\code\workspace_vscode_extension\.vscodeignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\lry72\code\workspace_vscode_extension\CHANGELOG.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\lry72\code\workspace_vscode_extension\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 34, 72
"c:\Users\lry72\code\workspace_vscode_extension\esbuild.js", "JavaScript", 0, 0, 0, 115, 0, 0, 0, 0, 18, 14, 147
"c:\Users\lry72\code\workspace_vscode_extension\eslint.config.mjs", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lry72\code\workspace_vscode_extension\local\esbuild.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 1, 1, 11
"c:\Users\lry72\code\workspace_vscode_extension\local\package-lock.json", "JSON", 612, 0, 0, 0, 0, 0, 0, 0, 0, 1, 613
"c:\Users\lry72\code\workspace_vscode_extension\local\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\lry72\code\workspace_vscode_extension\local\src\child.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 5, 9, 43
"c:\Users\lry72\code\workspace_vscode_extension\local\src\main.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 6, 9, 41
"c:\Users\lry72\code\workspace_vscode_extension\local\src\test.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 11, 12, 82
"c:\Users\lry72\code\workspace_vscode_extension\local\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\lry72\code\workspace_vscode_extension\media\icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\lry72\code\workspace_vscode_extension\package-lock.json", "JSON", 5613, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5614
"c:\Users\lry72\code\workspace_vscode_extension\package.json", "JSON", 76, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"c:\Users\lry72\code\workspace_vscode_extension\src\benchmark\benchmarkWebviewPanel.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 12, 61
"c:\Users\lry72\code\workspace_vscode_extension\src\benchmark\languageAnalyser\cParser.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lry72\code\workspace_vscode_extension\src\benchmark\languageAnalyser\cppParser.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lry72\code\workspace_vscode_extension\src\benchmark\languageAnalyser\javaParser.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lry72\code\workspace_vscode_extension\src\benchmark\languageAnalyser\parser.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 11, 63
"c:\Users\lry72\code\workspace_vscode_extension\src\benchmark\languageAnalyser\pythonParser.ts", "TypeScript", 0, 0, 0, 0, 76, 0, 0, 0, 1, 20, 97
"c:\Users\lry72\code\workspace_vscode_extension\src\benchmark\main.ts", "TypeScript", 0, 0, 0, 0, 146, 0, 0, 0, 0, 33, 179
"c:\Users\lry72\code\workspace_vscode_extension\src\benchmark\prompt.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 0, 0, 5, 61
